,MAE,MSE,model
0,1.5166981220245361,4.050899505615234,LR+2
1,1.2452527284622192,3.585341215133667,RobustLR+2
2,1.8352056741714478,6.767621994018555,Adaptive+2
3,1.2313297986984253,3.595851182937622,LocalAdaptive+2
4,1.4468058347702026,4.599482536315918,GPR
5,1.2289029318664675,3.5756907400580316,Modal
