,MAE,MSE,model
0,2.0720608234405518,7.299093723297119,LR+5
1,4.7605180740356445,34.970359802246094,RobustLR+5
2,2.0857717990875244,5.926583290100098,Adaptive+5
3,1.7079687118530273,4.159964084625244,LocalAdaptive+5
4,1.2725560665130615,3.4509782791137695,GPR
5,1.6578333222916737,4.961619950046109,Modal
