,MAE,MSE,model
0,2.444746255874634,9.121953964233398,LR+5
1,2.3532330989837646,9.362059593200684,RobustLR+5
2,2.126894950866699,7.650711536407471,Adaptive+5
3,1.9907222986221313,6.676461219787598,LocalAdaptive+5
4,1.45994234085083,5.079426288604736,GPR
5,1.885500702567434,6.731394675032784,Modal
