,MAE,MSE,model
0,7.618997097015381,86.29896545410156,LR+5
1,3.0644640922546387,16.606918334960938,RobustLR+5
2,5.235628604888916,40.76139831542969,Adaptive+5
3,3.062030553817749,15.730846405029297,LocalAdaptive+5
4,2.957737922668457,15.587798118591309,GPR
5,2.8710960921381274,14.740055475900265,Modal
