,MAE,MSE,likelihood,model
0,1.6099553108215332,4.257248401641846,-428.650013425171,LR+2
1,1.4888838529586792,3.954367160797119,-436.9820861816406,Adaptive+2
2,1.2198786735534668,3.5239477157592773,-333.4600830078125,LocalAdaptive+2
