,MAE,MSE,likelihood,model
0,1.7786202430725098,5.057888984680176,-222.9413114122035,LR+2
1,1.4999840259552002,4.979954242706299,-254.97744750976562,Adaptive+2
2,1.3225409984588623,4.4137864112854,-159.274169921875,LocalAdaptive+2
